Employee_ID,First_Name,Last_Name,Department,Job_Title,Manager,Gender,Date_of_Birth,Date_of_Joining,Employment_Type,Contact_Number,Email,Address,City,Country,Status
EMP1346,Carol,Martin,Sales,Assistant,Savannah Stanton,Female,1999-08-18,2013-08-30,Part-time,+1-757-064-2159,john47@marshall.biz,"9575 Gonzalez Run Suite 673, Scottland, LA 29541",East Daniel,Antarctica (the territory South of 60 deg S),Inactive
EMP5135,Douglas,Sims,HR,Coordinator,Jared Obrien,Male,1989-05-19,2019-10-02,Full-time,(655)255-7411,lucas17@yahoo.com,"5503 Frank View Suite 456, North Richard, CT 53714",South Angelaberg,Slovenia,Active
EMP8671,Sarah,Hamilton,IT,Assistant,Crystal Rogers,Male,1976-02-04,2011-03-21,Contract,+1-455-111-0937x90652,tarahernandez@cooper.com,"8807 Steven Canyon Suite 958, Mejiaville, AK 42798",Perryville,Cameroon,Inactive
EMP7152,Vanessa,Reyes,IT,Analyst,Phillip Lopez,Female,2000-12-18,2010-09-07,Contract,731.703.1086x0482,ebradford@yahoo.com,"20912 Bowers Crescent Suite 402, Shawnburgh, MT 70138",North Leahton,Marshall Islands,Inactive
EMP1758,Kelly,Tate,Sales,Manager,Karen Campbell,Male,1995-12-10,2017-07-20,Part-time,+1-696-274-3139x9132,wcox@gmail.com,"3594 Teresa Oval Apt. 035, West Brandyside, HI 08037",Johnborough,Timor-Leste,Active
EMP6962,Ashley,Brennan,IT,Assistant,Miss Kathleen Flores,Male,1980-08-02,2015-03-18,Part-time,(299)510-9711x74195,justinsmith@willis.com,"5960 Cox Run Apt. 304, Emilyborough, MO 92579",Chadberg,Cambodia,Inactive
EMP1322,Rebecca,Bailey,Finance,Executive,Gary Salazar,Male,1989-02-20,2022-02-22,Full-time,162-688-1484,jerrybutler@hall.com,"2049 Strong Mountain, New Mark, CT 79785",North Paulaberg,United States Virgin Islands,Inactive
EMP9579,Joseph,Collins,HR,Coordinator,Sean Hernandez,Female,1970-01-07,2014-10-13,Full-time,(426)938-5392,yunderwood@barker.biz,"39919 Sullivan Springs Suite 398, Kyleport, DC 78727",South Deborah,Gabon,Active
EMP1780,Donna,Espinoza,Marketing,Assistant,Danielle Henson,Female,1995-11-24,2014-07-30,Full-time,063-805-6073,nicoleroberts@jefferson.info,"64872 Jared Greens Apt. 701, Roberthaven, ME 28390",West Chadmouth,Cuba,Active
EMP3236,Jacob,Wilson,HR,Manager,Shannon Hunt,Female,1977-04-22,2012-01-09,Full-time,3579498338,melissawatson@hotmail.com,"61063 Angel Plaza Suite 472, Stewartburgh, AK 79030",Molinashire,Iran,Active
EMP2419,Jennifer,Peters,HR,Coordinator,Lori Webb,Female,1980-08-30,2013-07-04,Full-time,001-039-360-1408,littlejoseph@bowen.com,"9992 Beth Square Suite 632, East Robinshire, MD 84049",Whitemouth,Libyan Arab Jamahiriya,Inactive
EMP2032,Katherine,Peterson,Marketing,Coordinator,Chase Brooks,Female,1981-10-12,2014-04-26,Part-time,1144601279,david44@gmail.com,"0150 Calvin Mill, Trujillomouth, MD 89266",East Veronicaview,Madagascar,Active
EMP4071,Teresa,Ellis,Sales,Assistant,Heather Woods,Male,1994-04-12,2022-09-24,Full-time,673.417.6886x5151,jacqueline37@green.biz,"793 Murray Mills Suite 604, Allentown, IN 72183",Brittneyfort,Eritrea,Active
EMP8111,Joseph,Brown,Operations,Executive,James Sparks,Female,1985-09-10,2013-01-10,Part-time,+1-183-777-4331x927,sarahanderson@hotmail.com,"24172 Anderson Road Suite 463, North Paula, SC 28364",Nataliehaven,French Guiana,Active
EMP2837,Kristen,Williams,Operations,Assistant,Robert Young,Female,1978-09-11,2017-07-24,Contract,(828)799-2565,lcain@gmail.com,"603 Cain Village Suite 628, North Stephanieside, KY 62790",Wilsonburgh,Uganda,Active
EMP3064,Ashley,Palmer,IT,Analyst,Daisy Ballard,Male,1985-12-07,2021-12-17,Full-time,740.217.4660x973,garmstrong@riley.com,"56851 Jesus Trace Apt. 746, East Tristan, FL 81851",New Amber,Nauru,Inactive
EMP1441,Jacob,Davis,Finance,Assistant,Nichole Cross,Male,1995-04-10,2013-02-02,Part-time,1682884176,smitchell@wright-ellis.com,"399 Nathan Glen, Patrickstad, WV 21526",East Ericmouth,Burkina Faso,Active
EMP4430,Amy,Rodriguez,Finance,Executive,Sean Williamson,Female,1988-10-07,2017-02-22,Part-time,001-527-535-3574,williamsrandy@bryant.com,"89298 Tammy Meadows Apt. 651, Roblesmouth, MD 13827",East Alicia,Liberia,Inactive
EMP7987,Taylor,Vasquez,HR,Executive,Charles Brown,Female,1982-01-25,2013-01-27,Contract,+1-675-231-3596x4659,mchapman@michael.info,"PSC 6663, Box 0744, APO AE 35839",Port Anthonyburgh,Mongolia,Inactive
EMP5630,Anthony,Alvarado,Sales,Assistant,Mary Turner PhD,Female,1998-08-16,2016-01-05,Contract,+1-205-059-0466,marvinstanton@faulkner-ellison.com,"43965 Lauren Dam, Oneillville, CT 85301",Hineshaven,Trinidad and Tobago,Inactive
EMP7598,Holly,Richards,Finance,Analyst,Julia Powell,Female,2000-02-24,2019-09-10,Full-time,001-247-994-1845x316,caroline58@gmail.com,"228 Garcia Alley, Vanessaton, KY 87802",East Kimberlymouth,Colombia,Active
EMP3166,Tony,Garcia,Operations,Assistant,Melissa Taylor,Male,1972-02-23,2019-03-09,Part-time,759-452-4288x81414,mcdonaldbenjamin@luna.info,"28963 Heather Ports Suite 125, Kingburgh, OK 94659",Andrewchester,Antigua and Barbuda,Inactive
EMP8734,Matthew,Nelson,Sales,Analyst,Matthew Williams,Male,1995-08-12,2016-06-08,Contract,647.608.4313x4201,ycarlson@gmail.com,"20456 Foster Hollow Apt. 511, North Juantown, ID 11956",Annettetown,Singapore,Active
EMP9768,Randy,Munoz,HR,Executive,Alexander Bass,Male,1992-06-11,2013-04-29,Contract,001-443-722-0881x86988,monicawest@yahoo.com,"06595 Brown Common, Williamland, CO 34744",Hernandezside,Marshall Islands,Active
EMP4742,April,Juarez,Finance,Executive,Stacy Mcgee,Female,2000-02-25,2012-12-07,Contract,(669)947-8635x564,amysanders@hotmail.com,"Unit 8378 Box 8363, DPO AA 02015",Hernandezbury,Sweden,Inactive
EMP4311,Jessica,Morris,HR,Executive,Bruce Davis,Female,1998-07-30,2014-09-06,Part-time,470-014-0433,deborahstewart@young.net,"403 Larsen Summit Suite 380, Port Victoria, SC 26897",Michellestad,Qatar,Active
EMP8037,Holly,Church,Sales,Coordinator,Sarah Hughes,Male,1985-12-13,2020-03-29,Part-time,716-999-1363x751,fernandoochoa@allen.com,"2660 Byrd Neck Suite 773, Nicoleville, IL 28343",Dianatown,Spain,Inactive
EMP4728,Amy,Reynolds,IT,Manager,Deanna Miller,Female,1974-09-12,2015-07-06,Contract,+1-945-838-3315x5712,hrivera@yahoo.com,"2251 Madison Glen, North Cynthia, ND 26791",Lake Patriciaport,Singapore,Active
EMP9093,Alan,Mcpherson,Operations,Executive,Colleen Clay,Female,1998-11-11,2018-06-04,Contract,001-413-145-2516,erik53@boyle.biz,"4160 Garrett Union, North Charles, WV 32866",Port Zacharybury,Pitcairn Islands,Active
EMP4577,Holly,Thomas,Operations,Manager,Alexander Sexton,Female,1992-08-02,2020-01-06,Contract,0876080674,robertsontyler@decker-richards.net,"660 Carol Island Suite 899, Parksbury, NM 07585",Robertsport,Northern Mariana Islands,Active
EMP1222,James,Brown,Sales,Analyst,Crystal Morgan,Female,1972-03-05,2015-09-01,Full-time,005-904-2122,jill21@spencer-berry.com,"81926 Joseph Turnpike Suite 020, Port Rachel, CO 20473",Thompsonmouth,Switzerland,Inactive
EMP5790,Andres,Skinner,HR,Executive,Michael Holmes,Female,1981-12-27,2019-01-05,Part-time,823.744.0742x99377,dennis61@hotmail.com,"5899 Wendy Hills, Zunigaberg, MA 78230",Kennedyview,Libyan Arab Jamahiriya,Inactive
EMP1367,Jesse,Moore,Operations,Analyst,Gabriela Rice,Female,1991-08-27,2022-12-12,Contract,+1-832-251-1351x731,ryan09@hotmail.com,"373 Lauren Corner, Lloydchester, WV 76829",Michaelport,Cuba,Active
EMP7318,Janet,Hess,Sales,Coordinator,Kylie Marks,Female,1970-03-27,2014-04-01,Full-time,448-159-4879,owalker@hotmail.com,"34942 Donald Port Suite 294, Lake Andreachester, OH 78595",Daughertyshire,Vanuatu,Active
EMP6190,Rodney,Evans,Marketing,Executive,Deborah Williams,Female,1975-07-18,2012-02-14,Full-time,001-897-220-0870,karmstrong@yahoo.com,"7332 Roberson Cliffs Apt. 078, Lake Antonio, LA 89606",North Louisview,Bosnia and Herzegovina,Active
EMP2033,Tiffany,West,HR,Manager,William Jackson,Female,1982-06-13,2022-08-17,Full-time,721.416.2805,lindahoover@yahoo.com,"7423 Wells Brooks Apt. 260, North Paulchester, GA 62360",Lauriefort,Chile,Inactive
EMP5387,Tyler,Mcdaniel,IT,Coordinator,Mark Flores,Male,1992-09-26,2010-01-15,Part-time,196.372.1719x939,cmiller@yahoo.com,"PSC 7566, Box 5823, APO AA 26534",Lake Brandy,Montserrat,Active
EMP9916,Amy,Robinson,Finance,Manager,Kathy Griffith,Female,1974-01-22,2019-04-12,Contract,921.825.6424x0330,zachary35@gmail.com,"589 Patricia Mount Suite 428, Warrenland, VA 90048",Dodsonstad,Guam,Active
EMP4739,Michelle,Vang,HR,Analyst,Kathy Wilson,Male,1981-01-13,2014-06-05,Part-time,882-726-0566x20794,christopherbanks@gmail.com,"175 Maria Spurs Suite 156, Jenniferville, NJ 50184",Martinezside,Cote d'Ivoire,Active
EMP6349,Zachary,Gentry,Operations,Manager,Jodi Barry,Male,1973-09-07,2015-10-23,Full-time,+1-665-677-0437x574,xmendoza@jones-king.com,"6482 Brian Lodge Suite 690, East Michael, IN 86713",Aaronmouth,Azerbaijan,Inactive
EMP4639,Kimberly,Bailey,Finance,Coordinator,Gary Jackson,Female,1973-02-28,2013-07-24,Contract,014.590.8544,jessicapark@hotmail.com,"49177 Davis River, North Joseph, ID 24409",Parkerhaven,Benin,Inactive
EMP7038,Haley,Hughes,Marketing,Manager,Bobby Ramirez,Male,1975-03-03,2018-07-21,Contract,803-637-9203x36285,jerrygraham@clark-castillo.info,"07507 Crystal Canyon Apt. 762, Candaceview, IN 95580",Mooremouth,Brunei Darussalam,Inactive
EMP5421,Troy,Johnson,Sales,Manager,Deanna Brown,Female,1984-08-16,2018-06-25,Full-time,+1-286-140-8141x796,autumnellis@roberts.org,"5767 Anthony Oval, Lake David, AK 48277",New Erin,Cambodia,Active
EMP2568,Justin,Hayes,IT,Analyst,Gregory Edwards,Male,1994-07-19,2021-12-14,Contract,140-743-0691,dcalhoun@yahoo.com,"Unit 5572 Box 8446, DPO AP 19334",Smithfurt,Paraguay,Active
EMP6122,Bernard,Huffman,IT,Coordinator,Christine Cortez,Male,1970-07-29,2021-03-10,Contract,001-881-639-3949x54374,birderica@moore-green.net,"10150 Lucas Falls, Mullinshaven, OK 43282",Bakerton,Norfolk Island,Active
EMP1580,Megan,Sanchez,Marketing,Manager,Sarah Moreno,Male,1982-09-20,2019-12-06,Full-time,941.958.6465,priscilla59@yahoo.com,"640 Flores Garden Apt. 296, Jamestown, VA 86577",Davismouth,Faroe Islands,Active
EMP2486,Katherine,Taylor,Marketing,Assistant,Shawn Chandler DDS,Male,1987-02-12,2010-11-28,Contract,495-250-0570x731,matthew05@yahoo.com,"317 Jones Springs Suite 277, Matthewfurt, ID 48426",Lake Samantha,Dominican Republic,Active
EMP6990,Jennifer,Evans,Finance,Coordinator,Michael Dominguez,Female,1996-06-25,2020-01-12,Full-time,(612)963-4680x59531,wdillon@robertson.com,"21371 Monica Key Suite 513, North Mercedesbury, IN 99728",Christophermouth,Saint Lucia,Active
EMP3323,Michael,Stanley,Sales,Coordinator,Kristina Allen,Male,1991-06-02,2016-08-04,Full-time,(697)947-8269x29243,mark84@gmail.com,"USCGC Flores, FPO AA 86263",Watkinsbury,Gambia,Inactive
EMP1583,Adam,Walker,Sales,Manager,Michelle Smith,Male,1987-01-07,2011-07-20,Full-time,001-799-220-3273x7864,schwartzjonathan@conway-stevens.com,"2419 Kevin Pass, South Angelport, IL 03192",Morgantown,Marshall Islands,Inactive
EMP2994,Matthew,Holmes,Marketing,Assistant,Allison Smith,Male,1988-06-20,2014-06-23,Contract,+1-814-406-1440x75728,smithamanda@yahoo.com,"4473 Kelly Mount Apt. 370, Bryanton, MS 77234",North Megan,Russian Federation,Active
EMP3203,Michelle,Evans,Operations,Executive,James Smith,Female,1987-02-19,2013-01-13,Full-time,5916946277,mary38@bender.com,"8640 Tasha Light Suite 033, South Tammy, KS 42893",Steveview,South Georgia and the South Sandwich Islands,Inactive
EMP8091,Christian,Wilson,HR,Coordinator,Patricia Johnson,Male,1971-02-20,2012-03-27,Part-time,+1-787-491-4439x87945,harperdouglas@jones.com,"4650 Valerie Falls, Port Jacob, MD 79531",Port Lisaburgh,Grenada,Active
EMP7671,Matthew,Chen,IT,Executive,Eric Watson,Male,2000-03-18,2018-03-07,Contract,+1-899-393-3852,foxamber@keith.com,"01000 Christopher Fall Apt. 813, Heathbury, HI 83181",Morenoborough,British Indian Ocean Territory (Chagos Archipelago),Inactive
EMP3396,Ann,Boyd,Sales,Manager,Heidi Villarreal,Female,1995-08-03,2011-02-26,Full-time,217-138-7400x75438,robinsonjames@reynolds-ramirez.com,"92178 Singh Cove, East Autumnchester, KY 07279",Knightmouth,Gambia,Active
EMP6628,Charles,Mccarty,Operations,Executive,Patricia Fox,Female,1985-07-15,2011-05-04,Contract,8801011299,tammy56@hotmail.com,"263 Janet Manor, South Emilyport, SC 89985",Port Benjamin,Canada,Active
EMP4480,Micheal,Baker,IT,Executive,Norma Houston,Male,1970-06-07,2016-03-12,Part-time,(741)217-9064x245,wcastillo@gmail.com,"10612 Carey Rapids Apt. 849, Ortegaburgh, AK 30263",Mackstad,Philippines,Inactive
EMP7329,Heidi,Perez,IT,Assistant,Pamela Lopez,Female,2000-04-23,2022-10-26,Part-time,541-186-2413x24038,ofisher@yahoo.com,"221 Patterson Locks, West Alexbury, MA 19734",Garciashire,Kazakhstan,Active
EMP4670,Hannah,Martinez,IT,Analyst,Meghan Fuentes,Female,1994-04-05,2011-08-10,Contract,(359)478-2191x30189,tara50@yahoo.com,"Unit 7406 Box 4337, DPO AE 88254",Port Alexanderville,Guernsey,Active
EMP5600,Steven,Porter,Operations,Assistant,Courtney Reid,Male,1976-04-18,2013-05-21,Part-time,694-290-6040x7068,wilsonmegan@gmail.com,"75398 Tate Turnpike Suite 861, South Cynthiatown, TN 20561",Micheleshire,Bhutan,Active
EMP6523,Kyle,Wallace,Finance,Coordinator,Ryan Lewis,Female,1981-03-12,2018-11-02,Full-time,627-639-3887,danielrobbins@bradley-smith.com,"389 Mcdowell Pines, Lake Vincentburgh, MA 88640",New Jeffrey,Tanzania,Active
EMP6837,Debra,Johnson,Operations,Manager,Carol Burton,Male,1973-08-24,2020-06-11,Part-time,184-610-7621x0655,zwalker@weber-taylor.org,"97005 Sherry Parkways, Perezfurt, OH 17830",Lake Tracy,Australia,Inactive
EMP1480,Jason,Price,Operations,Coordinator,Mrs. Margaret Nunez MD,Male,1978-05-09,2021-01-19,Contract,1490305951,brenda16@hughes-huang.biz,"7138 Yang Islands Apt. 510, Nealstad, MI 07853",Fieldsview,Colombia,Active
EMP2492,Taylor,Velez,Finance,Analyst,Deborah Torres,Female,1984-08-04,2011-08-26,Part-time,001-986-244-5965x5687,uhester@gmail.com,"9184 Randall Brook Apt. 790, Claudiaburgh, SC 14821",Frederickchester,Jamaica,Active
EMP9465,David,Mason,HR,Executive,Jamie Lewis,Female,1980-11-14,2017-02-21,Full-time,001-505-945-0493x27501,billnewman@wood.org,"233 Hunt Haven, Justinbury, PA 42734",Lake Gregory,Bangladesh,Inactive
EMP1746,Victor,Beltran,Operations,Analyst,Dawn Martin,Male,2000-07-17,2020-06-16,Part-time,9521457426,pachecomichael@gmail.com,"PSC 4042, Box 6655, APO AP 25585",East Michelle,Isle of Man,Active
EMP8845,Lori,Wiley,Finance,Assistant,Kyle Mcdonald,Female,2000-11-19,2021-02-06,Full-time,+1-705-282-7273,andreawright@hall-bryant.com,"859 Wright Key Apt. 079, Petersmouth, NE 47495",South Manuel,Tuvalu,Active
EMP2842,Darlene,Wright,Finance,Analyst,Adrian Crane,Male,1979-10-28,2012-08-21,Full-time,(077)574-7113x0262,randerson@gibson.org,"057 Jeffrey Shores, Lake David, WY 08514",Lake Josephtown,Yemen,Inactive
EMP2231,Deanna,Horton,Sales,Assistant,Jerry Douglas,Female,1970-05-23,2022-03-01,Contract,(081)536-1262x90868,claudia04@yahoo.com,"883 Diane Burgs, Lake Thomas, IA 09451",South Melvinville,Samoa,Inactive
EMP4375,Joel,Bates,IT,Executive,Ashley Robinson,Male,1976-12-23,2012-02-04,Contract,054.725.9909,nicholas74@rodriguez.com,"560 Reilly Loaf Apt. 916, Davidsonshire, OK 67631",Dixonbury,Christmas Island,Inactive
EMP1476,Andrew,Day,Finance,Coordinator,Angelica Robertson,Female,1990-03-25,2016-09-29,Part-time,4959109268,murrayvincent@clark.biz,"51910 Brown Square Suite 632, West Amber, NV 03658",West Tammy,El Salvador,Active
EMP3959,Justin,Stevenson,Operations,Manager,Vincent Walker,Female,1984-06-04,2017-08-06,Full-time,156-000-8187,mjones@gilmore-massey.com,"212 Raymond Island Apt. 452, Katrinaport, WY 72213",East Laura,Cameroon,Active
EMP1648,Caroline,Andersen,Sales,Executive,Anthony Tyler,Male,1988-12-08,2014-03-21,Full-time,001-539-085-3787x725,olsonlisa@yahoo.com,"99478 Douglas Estate, Crystalmouth, IA 13610",Bensonburgh,United States Minor Outlying Islands,Inactive
EMP7288,Sandra,Villegas,Operations,Assistant,Carrie Hernandez,Female,1984-01-13,2020-08-30,Contract,+1-983-915-9617x922,kristinspears@thornton.org,"3312 Sharon Hill, Port Ashley, ID 33907",New Austinton,Maldives,Active
EMP9255,Thomas,Bell,HR,Executive,Jonathan Murphy,Male,1989-08-30,2010-06-11,Full-time,383.317.5249x20612,katie38@rogers.com,"370 April Mills, West Jennifershire, LA 46842",Lake Richardville,Malaysia,Inactive
EMP2564,Laurie,Lee,Marketing,Assistant,David Chang,Male,1981-07-02,2017-06-24,Full-time,958.566.6048x7649,palmerandrew@gmail.com,"83727 Silva Cliff, Lake Nicholasshire, CA 85201",East Nicholasstad,Montenegro,Inactive
EMP1331,Maria,Smith,Marketing,Coordinator,Victoria Ortiz,Male,1982-04-28,2013-12-07,Full-time,7580023475,tashaweeks@howard-rodriguez.com,"97935 Kathleen Run Apt. 462, Lake Justin, SD 99838",Josephstad,Canada,Active
EMP9519,Holly,Nichols,IT,Coordinator,Lynn Cox,Male,1997-12-22,2019-09-20,Contract,726-562-6156,valenzuelaandrea@larsen.com,"24861 Kelly Rest, Liuville, WI 42431",Port Holly,Iran,Active
EMP1926,Ashley,Carpenter,Operations,Manager,Katie Miller,Female,1992-06-05,2022-08-13,Contract,001-645-962-9595x277,donaldsonjared@floyd.com,"9766 Murphy Parkways, Lake Joycestad, KS 58172",New Tristanborough,Macao,Active
EMP7042,Joe,Mitchell,Sales,Executive,Kathleen Ellis,Female,1986-07-14,2013-03-28,Contract,827-753-5153x22565,victoria05@gmail.com,"5340 Angela Union, Michelleport, CT 47857",Davisfort,New Zealand,Active
EMP3703,Madeline,Duarte,Operations,Manager,Alexander Rogers,Female,1994-05-02,2011-04-25,Contract,001-567-375-6155x45855,uruiz@yahoo.com,"79043 Elizabeth Neck Apt. 325, South Adamborough, MS 38146",Erintown,Liberia,Inactive
EMP8446,Angela,Daugherty,IT,Assistant,Rachel Richard,Male,1989-07-27,2018-11-24,Full-time,861.995.8721,jerry47@yahoo.com,"48563 Clarke Glens, North Chadtown, SC 96097",West Allison,Cape Verde,Inactive
EMP8998,Julie,Lara,Marketing,Manager,Derrick Green,Male,1971-10-10,2015-09-04,Full-time,001-225-239-6593x74605,daniel93@fields.com,"47683 Cross Row Suite 365, Brownburgh, WY 94639",Richardville,Senegal,Inactive
EMP8393,Anthony,Serrano,Operations,Executive,Cole Davis,Male,1992-07-02,2018-07-15,Contract,+1-527-002-1815x25503,iphillips@yahoo.com,"1665 Harris Harbors Suite 216, Westchester, NH 33046",Garrettmouth,Nigeria,Active
EMP5761,Melissa,Weiss,Marketing,Executive,Brian Davis,Male,1982-11-23,2015-05-22,Contract,242.119.6651,amandadrake@gmail.com,"218 Williams Flats Suite 722, North Michaelbury, OK 27334",Riceshire,Syrian Arab Republic,Active
EMP1617,Justin,Baker,Marketing,Assistant,Tina Rodriguez,Female,1988-06-11,2016-05-26,Contract,3150851232,michaelfriedman@morris.com,"4021 Riley Cliff, North Eric, OH 78271",West Tammyburgh,Western Sahara,Active
EMP6444,Sandra,Clark,Finance,Coordinator,Daniel Anderson,Male,1986-04-08,2020-02-03,Part-time,(628)525-9248x33740,akoch@yahoo.com,"0155 Travis Fields, Port Emilyshire, MT 46897",West Candice,American Samoa,Inactive
EMP7439,Clarence,Murillo,IT,Assistant,Amber Cain,Male,1980-09-01,2011-03-06,Full-time,+1-123-936-8593,anixon@gmail.com,"482 Crystal Alley, Benjaminbury, WY 66034",Clarkfurt,Serbia,Inactive
EMP3847,Matthew,Johnson,Operations,Analyst,Jessica Montoya,Male,1986-01-18,2014-06-27,Full-time,203.046.0015,halldavid@yahoo.com,"27033 Wright Skyway Apt. 075, Webstermouth, ND 53576",Port Heatherfort,Wallis and Futuna,Active
EMP3147,Heather,Johnson,HR,Analyst,Sarah Malone,Female,1987-04-01,2015-06-10,Part-time,+1-937-789-6955x6495,christopher97@taylor.org,"Unit 0751 Box 3185, DPO AE 83389",Cynthiachester,Tuvalu,Inactive
EMP7950,Cory,Rice,Sales,Manager,Jose Salinas,Female,1992-03-02,2022-01-27,Full-time,248.559.9691x9722,mathislisa@jackson-mendoza.com,"0312 Jones Fall, New Kylie, HI 67207",Alexanderborough,Mali,Active
EMP9403,Linda,Berry,Marketing,Assistant,Michael Schaefer,Male,1980-02-25,2014-08-16,Full-time,(542)015-7912x90243,william48@hotmail.com,"090 Keith Stream Suite 400, Woodbury, NE 55703",Staffordland,Cuba,Active
EMP4582,Lori,Romero,Marketing,Assistant,Mr. Mark Walker,Female,1997-02-22,2013-01-08,Part-time,674-183-3238x5811,james33@salas.com,"711 Reynolds Shores Apt. 056, Adamsbury, DE 66982",Cunninghamport,Vanuatu,Inactive
EMP8749,Kelsey,Harrison,Operations,Executive,Patricia Harper,Female,1982-10-01,2013-08-13,Part-time,464.884.1044x7562,khays@hotmail.com,"644 Erika Street, North Lauren, CT 63520",East Cody,Cote d'Ivoire,Active
EMP7913,Megan,Hart,Finance,Analyst,Anita Hawkins,Male,1996-12-10,2018-12-07,Part-time,345.647.2399x03431,william18@braun-durham.net,"093 Bonnie Islands, Lake Katherine, UT 75158",West Kelsey,Cayman Islands,Active
EMP8806,Marcus,Lee,Marketing,Coordinator,Jennifer Bryan,Female,1980-05-26,2010-03-08,Full-time,814.737.0053x06773,andrea95@jones.com,"9198 Cynthia Key, West Edgar, WV 78894",Brownstad,Nigeria,Active
EMP5955,Herbert,Russell,IT,Assistant,Louis Horn,Male,1992-05-29,2017-07-09,Full-time,001-184-101-2116x2226,qjohnson@hotmail.com,"98582 Brian Fort, Jennifershire, IL 16707",East Ianville,Turks and Caicos Islands,Active
EMP2180,Justin,Cisneros,HR,Manager,Kyle Mendoza,Male,1995-02-21,2020-04-14,Contract,+1-221-114-0730x49548,daniellesanchez@gmail.com,"04575 Mackenzie Pass Apt. 414, New Jessicamouth, KY 33963",Walkerhaven,Northern Mariana Islands,Inactive
